ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
246093_at	0.808707	5.91E-01	-0.54390495	-6.120817	-0.13754299	AT5G20550	"oxidoreductase, 2OG-Fe(II) oxygenase family protein"
267459_at	0.808707	5.91E-01	-0.54390341	-6.120817	-0.13756393	AT2G33850	hypothetical protein
262959_at	0.8087297	5.91E-01	0.5437784	-6.120885	-0.13760072	AT1G54290	protein translation factor SUI1-2
262679_at	0.8087297	5.91E-01	-0.54376128	-6.120894	-0.1376224	LCR67	PLANT DEFENSIN 1.1
261321_at	0.8087297	5.91E-01	0.54366881	-6.120944	-0.13768997	AT1G44740	hypothetical protein
257120_at	0.8087297	5.91E-01	0.54361209	-6.120974	-0.13772819	AT3G20200	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
256928_at	0.8087297	5.91E-01	0.54351835	-6.121025	-0.13777825	PHP	protein PLANT HOMOLOGOUS TO PARAFIBROMIN
262423_at	0.8087297	5.91E-01	-0.54348689	-6.121041	-0.13779198	AT1G23450	pentatricopeptide repeat-containing protein
254969_at	0.8087297	5.91E-01	-0.54346045	-6.121056	-0.13794932	AT4G10360	"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein"
246001_at	0.8087297	5.91E-01	0.54345961	-6.121056	-0.1379671	AT5G20790	hypothetical protein
245477_at	0.8087819	5.91E-01	-0.54335103	-6.121114	-0.13799197	RR2	transcription factor response regulator 2
255030_at	0.8088291	5.91E-01	0.54322709	-6.121181	-0.13801321	AT4G09480	pseudo
247539_at	0.8088291	5.91E-01	0.54319545	-6.121198	-0.13803408	AT5G61710	hypothetical protein
254498_at	0.8088585	5.91E-01	0.54311138	-6.121243	-0.1380946	EMB1025	pentatricopeptide repeat-containing protein
256465_at	0.8089356	5.92E-01	0.54297594	-6.121316	-0.1381608	AT1G32570	hypothetical protein
263900_at	0.8090161	5.92E-01	-0.54283678	-6.121391	-0.13820955	AT2G36290	alpha/beta-Hydrolases superfamily protein
265413_s_at	0.8091339	5.92E-01	-0.54258105	-6.121528	-0.13828082	AT5G60430///PRORP2	antiporter/ drug transporter///proteinaceous RNase P 2
